season_year,team_id,team_name,game_id,wl,total_mins,total_points
2022-23,1610612744,Golden State Warriors,0022201230,W,48,157
2020-21,1610612749,Milwaukee Bucks,0022000051,W,48,144
2013-14,1610612751,Brooklyn Nets,0021300359,W,48,130
2013-14,1610612757,Portland Trail Blazers,0021300347,W,48,139
2018-19,1610612745,Houston Rockets,0021801200,W,48,149
2012-13,1610612745,Houston Rockets,0021200718,W,48,140
2013-14,1610612757,Portland Trail Blazers,0021300480,W,48,134
2017-18,1610612751,Brooklyn Nets,0021701193,W,48,124
2019-20,1610612750,Minnesota Timberwolves,0021900782,W,48,142
2014-15,1610612737,Atlanta Hawks,0021400939,W,48,130
2023-24,1610612745,Houston Rockets,0022301024,W,48,147
2015-16,1610612744,Golden State Warriors,0021500236,W,48,135
2015-16,1610612744,Golden State Warriors,0021501026,W,48,130
2022-23,1610612738,Boston Celtics,0022200135,W,48,133
2017-18,1610612743,Denver Nuggets,0021700865,W,48,134
2014-15,1610612745,Houston Rockets,0021401081,W,48,120
2015-16,1610612746,LA Clippers,0021500624,W,53,140
2021-22,1610612762,Utah Jazz,0022100339,W,48,137
2010-11,1610612756,Phoenix Suns,0021000143,W,48,121
2016-17,1610612739,Cleveland Cavaliers,0021600913,W,48,135
2011-12,1610612751,New Jersey Nets,0021100150,L,48,115
2011-12,1610612752,New York Knicks,0021100628,W,48,121
2019-20,1610612745,Houston Rockets,0021900282,W,48,158
2012-13,1610612759,San Antonio Spurs,0021200402,W,48,129
2019-20,1610612745,Houston Rockets,0021900825,W,48,135
2020-21,1610612745,Houston Rockets,0022000318,W,48,136
2019-20,1610612746,LA Clippers,0021901241,W,48,126
2018-19,1610612745,Houston Rockets,0021801163,W,48,130
2016-17,1610612743,Denver Nuggets,0021600827,W,48,132
2016-17,1610612745,Houston Rockets,0021600395,W,48,122
2012-13,1610612752,New York Knicks,0021201156,W,48,120
2020-21,1610612762,Utah Jazz,0022000478,W,48,132
2018-19,1610612745,Houston Rockets,0021800461,W,48,136
2023-24,1610612744,Golden State Warriors,0022301155,W,48,134
2021-22,1610612749,Milwaukee Bucks,0022100161,W,48,112
2011-12,1610612752,New York Knicks,0021100915,W,48,118
2010-11,1610612744,Golden State Warriors,0021000975,W,53,123
2023-24,1610612738,Boston Celtics,0022300872,W,48,140
2021-22,1610612738,Boston Celtics,0022100869,W,48,135
2022-23,1610612738,Boston Celtics,0022200772,W,48,139
2014-15,1610612739,Cleveland Cavaliers,0021400133,W,48,127
2014-15,1610612744,Golden State Warriors,0021400981,W,48,125
2023-24,1610612738,Boston Celtics,0022300389,W,48,145
2021-22,1610612762,Utah Jazz,0022100374,W,48,136
2017-18,1610612745,Houston Rockets,0021700140,W,48,137
2022-23,1610612744,Golden State Warriors,0022200814,W,48,141
2010-11,1610612752,New York Knicks,0021001015,W,48,120
2022-23,1610612749,Milwaukee Bucks,0022200939,W,48,139
2023-24,1610612740,New Orleans Pelicans,0022300575,W,48,132
2023-24,1610612751,Brooklyn Nets,0022301066,W,48,125
2022-23,1610612744,Golden State Warriors,0022200901,W,48,116
2014-15,1610612744,Golden State Warriors,0021400741,W,48,128
